location_key;date;country_name;cumulative_vaccine_doses_administered;vaccine_doses_diary
AR;1/01/2021;Argentina;18849;4544
AR;2/01/2021;Argentina;20334;1485
AR;3/01/2021;Argentina;20529;195
AR;4/01/2021;Argentina;25164;4635
AR;5/01/2021;Argentina;29852;4688
AR;6/01/2021;Argentina;34162;4310
AR;7/01/2021;Argentina;42092;7930
AR;8/01/2021;Argentina;54090;11998
AR;9/01/2021;Argentina;58552;4462
AR;10/01/2021;Argentina;59043;491
AR;11/01/2021;Argentina;67496;8453
AR;12/01/2021;Argentina;75681;8185
AR;13/01/2021;Argentina;82837;7156
AR;14/01/2021;Argentina;89912;7075
AR;15/01/2021;Argentina;97355;7443
AR;16/01/2021;Argentina;99874;2519
AR;17/01/2021;Argentina;100339;465
AR;18/01/2021;Argentina;104504;4165
AR;19/01/2021;Argentina;110155;5651
AR;20/01/2021;Argentina;118646;8491
AR;21/01/2021;Argentina;124635;5989
AR;22/01/2021;Argentina;128560;3925
AR;23/01/2021;Argentina;130257;1697
AR;24/01/2021;Argentina;130385;128
AR;25/01/2021;Argentina;136432;6047
AR;26/01/2021;Argentina;141966;5534
AR;27/01/2021;Argentina;146224;4258
AR;28/01/2021;Argentina;153122;6898
AR;29/01/2021;Argentina;163197;10075
AR;30/01/2021;Argentina;167354;4157
AR;31/01/2021;Argentina;167611;257
AR;1/02/2021;Argentina;176063;8452
AR;2/02/2021;Argentina;186296;10233
AR;3/02/2021;Argentina;197780;11484
AR;4/02/2021;Argentina;209559;11779
AR;5/02/2021;Argentina;223224;13665
AR;6/02/2021;Argentina;227709;4485
AR;7/02/2021;Argentina;228279;570
AR;8/02/2021;Argentina;238001;9722
AR;9/02/2021;Argentina;246347;8346
AR;10/02/2021;Argentina;252792;6445
AR;11/02/2021;Argentina;260187;7395
AR;12/02/2021;Argentina;266804;6617
AR;13/02/2021;Argentina;268110;1306
AR;14/02/2021;Argentina;268175;65
AR;15/02/2021;Argentina;268739;564
AR;16/02/2021;Argentina;269314;575
AR;17/02/2021;Argentina;279766;10452
AR;18/02/2021;Argentina;307412;27646
AR;19/02/2021;Argentina;337025;29613
AR;20/02/2021;Argentina;351450;14425
AR;21/02/2021;Argentina;360572;9122
AR;22/02/2021;Argentina;389916;29344
AR;23/02/2021;Argentina;428144;38228
AR;24/02/2021;Argentina;469262;41118
AR;25/02/2021;Argentina;504235;34973
AR;26/02/2021;Argentina;540391;36156
AR;27/02/2021;Argentina;548570;8179
AR;28/02/2021;Argentina;551500;2930
AR;1/03/2021;Argentina;584867;33367
AR;2/03/2021;Argentina;618243;33376
AR;3/03/2021;Argentina;649765;31522
AR;4/03/2021;Argentina;699163;49398
